,index,image_name,tags,haze,primary,agriculture,clear,water,habitation,road,cultivation,slash_burn,cloudy,partly_cloudy,conventional_mine,bare_ground,artisinal_mine,blooming,selective_logging,blow_down
0,3644,train_3644,agriculture partly_cloudy primary,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,28035,train_28035,partly_cloudy primary road,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,25550,train_25550,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32016,train_32016,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37967,train_37967,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,9949,train_9949,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22374,train_22374,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,16929,train_16929,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,18715,train_18715,clear water,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,22732,train_22732,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27414,train_27414,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39727,train_39727,cultivation habitation partly_cloudy primary road,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,27988,train_27988,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,24314,train_24314,clear habitation primary road water,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,22333,train_22333,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,24849,train_24849,agriculture haze primary,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29778,train_29778,artisinal_mine clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,5787,train_5787,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,448,train_448,agriculture artisinal_mine clear primary road water,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0,19848,train_19848,haze primary road selective_logging water,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,37020,train_37020,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,35911,train_35911,bare_ground clear,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,30827,train_30827,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,38616,train_38616,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29991,train_29991,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,33771,train_33771,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,24955,train_24955,clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,26852,train_26852,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2001,train_2001,agriculture cultivation partly_cloudy primary,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,5040,train_5040,haze primary water,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,29873,train_29873,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3808,train_3808,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21514,train_21514,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37874,train_37874,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22698,train_22698,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33362,train_33362,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,10876,train_10876,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9018,train_9018,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20500,train_20500,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,18872,train_18872,clear cultivation habitation primary slash_burn water,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
0,14832,train_14832,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,25835,train_25835,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3255,train_3255,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20123,train_20123,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,24594,train_24594,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34980,train_34980,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,16157,train_16157,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,7145,train_7145,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40080,train_40080,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,14730,train_14730,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30040,train_30040,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3419,train_3419,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,16184,train_16184,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14192,train_14192,agriculture partly_cloudy primary road,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,27330,train_27330,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,693,train_693,agriculture clear water,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,17502,train_17502,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22425,train_22425,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32352,train_32352,haze primary water,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,5482,train_5482,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36222,train_36222,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,752,train_752,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,40073,train_40073,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5494,train_5494,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33685,train_33685,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17352,train_17352,agriculture cultivation partly_cloudy primary,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,30322,train_30322,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,23411,train_23411,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,19217,train_19217,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5476,train_5476,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6655,train_6655,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,26962,train_26962,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,28215,train_28215,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,37365,train_37365,agriculture partly_cloudy primary road,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,16035,train_16035,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,27970,train_27970,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,25313,train_25313,agriculture partly_cloudy primary,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,14102,train_14102,agriculture cultivation partly_cloudy primary,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,30601,train_30601,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,925,train_925,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,11871,train_11871,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,25727,train_25727,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9485,train_9485,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,29934,train_29934,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23792,train_23792,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28678,train_28678,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39805,train_39805,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,23436,train_23436,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,37016,train_37016,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11708,train_11708,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19051,train_19051,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20546,train_20546,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18098,train_18098,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17423,train_17423,clear habitation primary road,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,14419,train_14419,agriculture clear primary road water,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,20097,train_20097,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,32115,train_32115,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22468,train_22468,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,28527,train_28527,clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,21341,train_21341,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7383,train_7383,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11727,train_11727,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,17677,train_17677,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,37032,train_37032,clear primary selective_logging,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2470,train_2470,agriculture habitation haze primary,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,7903,train_7903,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3575,train_3575,haze primary water,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,31270,train_31270,agriculture clear cultivation primary road,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,39437,train_39437,agriculture habitation partly_cloudy primary road,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0,15608,train_15608,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,14910,train_14910,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2877,train_2877,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,5408,train_5408,agriculture clear cultivation primary water,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,4676,train_4676,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,12208,train_12208,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24349,train_24349,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25926,train_25926,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,35470,train_35470,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1374,train_1374,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,23293,train_23293,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36591,train_36591,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34370,train_34370,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,37862,train_37862,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,13695,train_13695,agriculture partly_cloudy water,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,35261,train_35261,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39097,train_39097,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,22502,train_22502,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15431,train_15431,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
